Headline,Datetime,Sentiment,Score
"גורם טורקי: בכירי חמאס לא עברו לטורקיה מקטאר, הדיווח לא נכון",2024-11-18T10:22:48,Negative,0.999420166
אזעקה בערב אל-עראמשה שבגליל המערבי,2024-11-18T10:06:45,Negative,0.999922276
"אח החטוף מתן אנגרסט ביקש להשמיע את הקלטתו מהשבי בוועדת החוקה, רוטמן סירב",2024-11-18T09:59:27,Negative,0.981826425
אזעקות במעלות תרשיחא ויישובים נוספים בגליל המערבי,2024-11-18T09:50:09,Neutral,0.999524117
"צה""ל: כ-30 שיגורים במטח לנהריה והסביבה, חלק יורטו",2024-11-18T09:38:24,Positive,0.999958992
"המפכ""ל ליועמ""שית: יש לקדם את חוק הרוגלות, מדובר בכלי קריטי",2024-11-18T09:30:30,Neutral,0.997376561
"האזעקות בקריית שמונה: רקטה התפוצצה במתחם ישיבה, בתים ניזוקו",2024-11-18T09:12:25,Negative,0.999793112
אזעקות בנהריה ובסביבה,2024-11-18T09:05:29,Neutral,0.999561489
"שופט העליון גרוסקופף: המדינה לא יכולה לממן לימודים, כשאלו מפירים את החובה להתגייס",2024-11-18T08:51:18,Negative,0.999758661
אזעקות בקריית שמונה והסביבה,2024-11-18T08:23:59,Neutral,0.999572814
אחיינו של איציק אלגרט: עסקה חטופים? נתניהו עדיין לא הגיע למספר המנדטים שהוא רוצה,2024-11-18T08:17:01,Neutral,0.996717989
נקבע מותו של אחד הפצועים מהירי ברמת גן אמש,2024-11-18T07:55:13,Neutral,0.994261026
"אזעקות בגורן, אילון ויישובים נוספים בגליל המערבי",2024-11-18T07:50:25,Neutral,0.999554098
צעיר מג'סר א-זרקא נעצר בחשד למעורבות ברצח ביישוב בתחילת החודש,2024-11-18T07:45:39,Negative,0.566117883
"רוכב אופנוע נהרג מפגיעת משאית בכביש 4, סמוך לעין כרמל",2024-11-18T07:38:14,Negative,0.999921083
"דיווח: השליח האמריקני למזה""ת יגיע מחר לביירות עבור המו""מ עם חיזבאללה",2024-11-18T07:07:49,Neutral,0.994368732
אזעקה בזרעית שבגליל המערבי,2024-11-18T06:35:55,Negative,0.999926925
"השגריר בוותיקן נגד האפיפיור: ""7.10 היה טבח ג'נוסיידי, ישראל מגינה על אזרחיה""",2024-11-18T06:06:51,Negative,0.999239445
"מנהיג הרוב הבא בסנאט נגד ביה""ד בהאג: בטלו את הפעולות השערורייתיות נגד ישראל",2024-11-18T05:53:22,Negative,0.999877214
ב-10:05 וב-13:05: פיקוד העורף יערוך בדיקות צופרים ביישובים בגליל התחתון,2024-11-18T05:46:44,Negative,0.960015774
"חשד לחיסול בפתח תקווה: גבר נהרג בפיצוץ רכב, צעיר במצב בינוני",2024-11-18T05:00:10,Positive,0.994383097
"צבא ירדן, לאחר יירוט הכטב""ם באזור אילת: ""עצם מעופף נפל באזור עקבה""",2024-11-18T04:19:38,Positive,0.772119641
משאית התהפכה בכביש 6 במחלף אליקים; הנהגים מתבקשים לבחור דרכים חלופיות,2024-11-18T04:15:43,Negative,0.999196589
"רוסיה: במהלך הלילה יירטנו 59 כטב""מים ששיגרה אוקראינה",2024-11-18T04:13:23,Negative,0.99989903
"התחזית: התקררות ניכרת, גשם לפרקים בצפון ובמרכז",2024-11-18T03:14:45,Negative,0.999508619
"ארה""ב: שניים נורו למוות ו-10 נפצעו במצעד בניו אורלינס",2024-11-18T02:45:51,Negative,0.58787179
"רוסיה: ""יורט כטב""ם ששוגר מאוקראינה ונע לכיוון מוסקבה, אין נפגעים""",2024-11-18T01:12:10,Negative,0.999900579
"טראמפ מינה את ברנדן קאר ליו""ר רשות התקשורת הפדרלית בארה""ב",2024-11-18T00:52:29,Negative,0.999624133
"רוסיה: יירטנו 26 כטב""מים ששיגרה אוקראינה לשטחינו",2024-11-18T00:26:13,Negative,0.999902725
"לבנון: 11 הרוגים בתקיפות צה""ל באזור צור",2024-11-17T23:16:34,Positive,0.999958992
"צה""ל: מיירט נפל במהלך יירוט הכטב""ם באזור אילת, לא דווח על נפגעים",2024-11-17T23:03:58,Positive,0.999955058
אזעקות בקריית שמונה ובסביבה,2024-11-17T22:32:39,Neutral,0.999561608
משפחות אמריקנים שנרצחו בטבח 7 באוקטובר תובעות את איראן,2024-11-17T22:29:56,Neutral,0.993388534
"האזעקה באילת: יורט כטב""ם ששוגר ממזרח לפני שחצה לשטח הארץ",2024-11-17T22:24:04,Negative,0.999908805
"חשש לחדירת כטב""ם באילת",2024-11-17T22:04:14,Neutral,0.999565303
ניצחון סנסציוני: נבחרת ישראל הפתיעה את נבחרת בלגיה בליגת האומות,2024-11-17T21:39:23,Positive,0.999892473
"גם בצה""ל מאשרים: מוחמד עפיף חוסל בביירות",2024-11-17T21:35:12,Positive,0.9999578
קים ג'ונג און לצבא הצפון קוריאני: הגבירו מוכנות למלחמה,2024-11-17T21:28:46,Neutral,0.999071479
חיזבאללה אישר: מוחמד עפיף חוסל בתקיפה במרכז ביירות,2024-11-17T21:22:42,Positive,0.999958396
אזעקות באזור עמק החולה,2024-11-17T21:08:03,Neutral,0.999607861
"המשטרה: נעצר חשוד בירי ברמת גן, הרקע פלילי",2024-11-17T21:04:54,Negative,0.996742308
דיווח: חיזבאללה העביר את תגובתו להצעת הפסקת האש,2024-11-17T20:43:49,Neutral,0.997672021
"שני פצועים מירי ברמת גן, אחד במצב קשה",2024-11-17T20:13:36,Neutral,0.996342242
"המשטרה: דיווח על גבר שנפצע מירי ברמת גן, הנסיבות נבדקות",2024-11-17T20:12:03,Negative,0.97649765
משרד הבריאות של לבנון מעדכן: 2 הרוגים בתקיפה בביירות,2024-11-17T19:19:14,Neutral,0.999627471
לבנון: שר החינוך הורה על סגירת מוסדות ציבוריים ופרטיים,2024-11-17T19:18:24,Neutral,0.643619478
דיווח סעודי: יעד התקיפה בביירות חוסל,2024-11-17T19:17:05,Positive,0.999953628
"יעד התקיפה מחוץ לדאחייה בביירות: מפקד בכיר ב""חזית הדרום"" בחיזבאללה",2024-11-17T19:01:33,Neutral,0.997823
"הרב הירש לבחורי הישיבות שקיבלו צו גיוס: ""מצווה להיות עריקים""",2024-11-17T18:43:07,Negative,0.565505803
משרד הבריאות של לבנון: הרוג ופצועים בתקיפה בביירות,2024-11-17T18:32:31,Neutral,0.999655128
"מפקד חיל האוויר בג'באליה: ""פועלים כנף אל כתף עם הלוחמים בשטח""",2024-11-17T18:12:14,Positive,0.975948691
ביידן אישר לאוקראינה להשתמש בנשק אמריקני לתקיפות בעומק רוסיה,2024-11-17T18:10:04,Positive,0.999958873
דיווח: נפגעים בתקיפה הישראלית בביירות,2024-11-17T18:06:57,Negative,0.999916911
"צה""ל הכניס תותחים ללבנון, לראשונה משנת 2000",2024-11-17T18:01:56,Positive,0.999958038
"דיווחים: ""ישראל תקפה רכב מחוץ לדאחייה בביירות""",2024-11-17T18:00:02,Neutral,0.99934417
"צה""ל ממשיך לתקוף במעוז חיזבאללה: הושמדו 6 מטרות נוספות בדאחייה שבביירות",2024-11-17T17:55:25,Positive,0.999958992
"דיווחים בלבנון: תקיפה בביירות, מחוץ לדאחייה",2024-11-17T17:54:07,Neutral,0.999571383
"ראש השב""כ, הרמטכ""ל, ראש המוסד ואלוף אלון קיימו דיון בעניין המו""מ לעסקת חטופים",2024-11-17T17:53:27,Neutral,0.582103312
"יו""ר הוועדה לביטחון לאומי הכריז על דיון דחוף לאחר ירי  פצצות התאורה בקיסריה",2024-11-17T17:49:43,Negative,0.999906898
"דיווח סעודי: יו""ר הפרלמנט בלבנון מסר את תשובת חיזבאללה להצעה להסדרה",2024-11-17T17:47:30,Negative,0.998690665
"רחוב ז'בוטינסקי בבני ברק נפתח לתנועה, מפגין חרדי קיצוני נעצר",2024-11-17T17:41:01,Negative,0.999916196
"לפיד: ""צריך לגייס צעירים חרדים כדי לקצר את שירות המילואים""",2024-11-17T17:38:24,Positive,0.683524787
"החות'ים קיבלו אחריות על שיגור הכטב""ם שיורט הבוקר באזור יבנה",2024-11-17T17:15:41,Negative,0.999833941
"האזעקות בראש הנקרה: חיל האוויר יירט 3 כטב""מים, התרעות הופעלו מחשש לנפילת רסיסים",2024-11-17T17:05:42,Positive,0.502657413
"הוכשטיין צפוי להגיע ללבנון ביום שלישי, במסגרת המאמצים לקראת הסדרה",2024-11-17T17:04:04,Neutral,0.988090515
אזעקות נוספות בראש הנקרה,2024-11-17T16:47:56,Neutral,0.99961406
"סרן יוגב פזי, שנפל בג'באליה, הוא אחיינו של ח""כ גדי איזנקוט",2024-11-17T16:46:03,Negative,0.99978441
אזעקות בראש הנקרה ובחוף בצת,2024-11-17T16:43:14,Neutral,0.999581754
הותר לפרסום: שני לוחמים מחטיבת כפיר נפלו בהיתקלות בג'באליה,2024-11-17T16:35:46,Negative,0.999893665
"הוארך בחמישה ימים מעצר החשודים בירי ""זיקוקים ימיים"" לעבר בית רה""מ בקיסריה",2024-11-17T16:32:41,Negative,0.957458913
"הוועדה אישרה הצעה להקמת מחלקת מודיעין מקבילה לאמ""ן שתוכפף ישירות לרה""מ",2024-11-17T16:25:47,Neutral,0.957223177
דיווח: פיצוצים נשמעו בדמשק,2024-11-17T16:07:41,Neutral,0.999580562
חרדים קיצונים חוסמים את רחוב ז'בוטינסקי בבני ברק,2024-11-17T15:35:24,Negative,0.999817669
"צה""ל שלח היום כאלף צווים לחייבי גיוס חרדים",2024-11-17T15:32:06,Positive,0.999956608
"יו""ר הקואליציה בוועידת משפחות המילואים: הרחבת שורות הצבא הכרחית - אך לא בכוח",2024-11-17T15:24:16,Neutral,0.994867086
המשטרה מבקשת להאריך ב-12 יום את מעצרם של החשודים בירי פצצות התאורה,2024-11-17T15:13:46,Negative,0.999302626
"כביש 4 נפתח לתנועה באזור בני ברק, מפגינים חרדים קיצונים ניצבים בשוליים",2024-11-17T15:11:53,Negative,0.999910474
אושרה הצעת חוק שתאפשר ללוחמים שנפצעו לקבל רישיון נשק עם תום שירותם,2024-11-17T14:57:15,Neutral,0.999313831
"צה""ל: 15 רקטות שוגרו מלבנון לגליל העליון, חלקן יורטו",2024-11-17T14:47:17,Positive,0.999948502
דיווח לבנוני: מבנה עירייה בדרום המדינה הושמד בתקיפה,2024-11-17T14:30:17,Neutral,0.987424552
אזעקה במטולה,2024-09-22T15:54:27,Negative,0.999922037
"טראמפ נפגש בפלורידה עם מנהיג קטאר: ""האמיר רוצה שלום במזה""ת ובעולם כולו""",2024-09-22T15:46:24,Neutral,0.997848749
"בימים הקרובים: צה""ל יציג חלופות לחלוקת הסיוע ההומניטרי בצפון הרצועה",2024-09-22T15:35:36,Positive,0.999958992
"מפקד בית כלא הוצא לחופשה כפויה, לאחר שנחשד בהצעות רומנטיות לפקודה",2024-09-22T15:16:52,Neutral,0.978343189
כתב אישום חמור נגד שוטר מירושלים: תקף מינית שוטרות בסדרת אירועים,2024-09-22T15:12:58,Neutral,0.894889593
"מזכ""ל האו""ם: ""מודאג שלבנון תהפוך לעוד עזה""",2024-09-22T15:05:00,Neutral,0.997049153
"ארה""ב: מודאגים מההסלמה בצפון, ביידן עדיין מחויב לפתרון דיפלומטי",2024-09-22T14:53:17,Negative,0.999891043
אזעקה באצבע הגליל,2024-09-22T14:51:36,Negative,0.99992466
"ארה""ב: אוסטין וגלנט שוחחו אחרי מטחי חיזבאללה לצפון",2024-09-22T14:34:57,Neutral,0.999334157
"נתניהו חשף בוועדה בכנסת: ""לפי המידע שבידינו - מחצית מהחטופים בחיים""",2024-09-22T14:29:07,Negative,0.919578731
לאחר הערכת מצב: גם מחר לא יתקיימו לימודים פרונטליים בצפון הארץ,2024-09-22T14:25:13,Negative,0.945248067
דיווח על תקיפות ארטילריה בדרום לבנון,2024-09-22T14:09:43,Positive,0.999959111
"בריטניה קראה לאזרחיה: ""הימנעו מהגעה לישראל - למעט נסיעות הכרחיות""",2024-09-22T14:07:50,Neutral,0.998368919
"סגנו של נסראללה מאיים: ""תושבי הצפון לא יחזרו - נכנסנו לקרב חדש""",2024-09-22T13:46:21,Negative,0.999865174
הוארך ב-5 ימים מעצר בן ה-17 שחשוד בפיגוע הפלילי ברמלה,2024-09-22T13:41:55,Negative,0.999918461
"סגנו של נסראללה בהלוויית עקיל: ""ישראל נכשלה בניסיון לשתק את חיזבאללה""",2024-09-22T13:35:51,Negative,0.999701679
"גורם ביטחוני: ""הציבור צריך להיות מעודכן במה שצפוי - יהיו ימים עצימים מאוד""",2024-09-22T13:27:13,Neutral,0.915157795
"הנהגות התלמידים וההורים: משהים עד להודעה חדשה את ""השביתה הנודדת""",2024-09-22T13:23:40,Neutral,0.978289783
הממשלה תפרסם את התבחינים שגובשו בעניין סבסוד מעונות היום,2024-09-22T13:20:34,Neutral,0.999377549
"פיקוד העורף על החשש לחדירת כלי טיס עוין בגליל: ""האירוע הסתיים""",2024-09-22T13:17:30,Neutral,0.999666214
"נתניהו: ""אנחנו מחלישים את חיזבאללה ומרחיקים אותו מהגבול""",2024-09-22T13:13:10,Negative,0.999736845
"אלוף פיקוד הצפון: ""פגענו משמעותית בחיזבאללה ונמשיך ונעמיק את הפגיעה""",2024-09-22T13:10:13,Negative,0.999596298
אזעקות באצבע הגליל,2024-09-22T12:57:14,Neutral,0.999338686
נתניהו סירב להתחייב בוועדת החוץ והביטחון כי לא יפטר את גלנט,2024-09-22T12:51:13,Negative,0.999910355
"אישום נגד הנהג של בן גביר, שעבר באדום וגרם לתאונה ליד זירת הפיגוע ברמלה",2024-09-22T12:34:56,Negative,0.999922395
בריטניה: בוחנים סנקציות נוספות נגד מתנחלים ביהודה ושומרון,2024-09-22T12:25:51,Neutral,0.929811001
"נדחה המשחק בין מכבי חיפה לבית""ר ירושלים בעקבות ההסלמה בצפון",2024-09-22T12:21:49,Negative,0.999923587
רוכב קורקינט חשמלי כבן 16 נפצע קשה מפגיעת רכב בחולון,2024-09-22T12:21:17,Neutral,0.99843806
"דיווח: פיצוץ מכשירי הקשר - חלק מפיתוח ""הכפתור האדום"" שנלחץ במבצע הביפרים",2024-09-22T12:16:29,Negative,0.999906301
"בכיר בחיזבאללה: ""לא היה ואקום בהנהגת הארגון אפילו ליום אחד""",2024-09-22T11:32:16,Neutral,0.763101518
"חיזבאללה הודיע על מות פעיל נוסף, משרד הבריאות בלבנון: ""3 הרוגים בתקיפות""",2024-09-22T11:13:21,Positive,0.999958396
"השר כ""ץ לעשרות שרי חוץ: ""אם העולם לא יסיג את חיזבאללה - ישראל תעשה זאת""",2024-09-22T10:54:37,Neutral,0.968493819
"דיווח: מניין ההרוגים בתקיפה בדאחייה עלה ל-48, החיפוש אחר נעדרים עומד להסתיים",2024-09-22T10:51:06,Negative,0.783884048
"המועצה האזורית גליל עליון: שתי נפילות בקיבוץ מנרה, שריפה פרצה במקום",2024-09-22T10:29:15,Negative,0.999821961
הפרקליטות תובעת פיצויים בגובה 8 מיליון שקלים מנהג שדרס למוות מתנדב משטרה,2024-09-22T10:26:51,Negative,0.999910355
"נתניהו: ""הנחתנו על חיזבאללה רצף מכות שהוא לא דמיין. הוא יבין את המסר""",2024-09-22T10:09:16,Negative,0.928525209
"מפעלי ""שירותים קיומיים"" יוכלו להמשיך לעבוד בשטחים שהוכרזו ""במצב מיוחד בעורף""",2024-09-22T10:01:56,Neutral,0.998951077
דיווח: פעיל חיזבאללה נהרג בתקיפה בדרום לבנון,2024-09-22T10:00:55,Negative,0.999858975
הרצוג: המחוסלים בדאחייה התכנסו לתכנון מתקפה דומה ל-7/10,2024-09-22T09:51:58,Positive,0.999957323
"גלנט: ""המהלכים שלנו יימשכו, נפעיל את כל מה שצריך להשגת המטרה""",2024-09-22T09:40:53,Positive,0.999798596
"כמה כטב""מים חדרו לאצבע הגליל, נפילות ברכס רמים",2024-09-22T09:40:24,Negative,0.999916673
חשש לחדירת כלי טיס עוין בקריית שמונה והסביבה,2024-09-22T09:19:36,Neutral,0.999588549
"צה""ל: 150 רקטות, טילים וכטב""מים שוגרו מהלילה לישראל, אחוזי היירוט היו גבוהים",2024-09-22T09:17:59,Positive,0.999953151
"שגרירות איראן בלבנון: ""אסור לתת לישראל להחזיק בנשק גרעיני""",2024-09-22T09:15:41,Negative,0.994971037
"דיווח: ""שתי רקטות ששוגרו מדרום סוריה התפוצצו ברמת הגולן""",2024-09-22T09:09:15,Negative,0.999900341
"צה""ל מאשר: תקפנו מחבלים ששהו במבנה שהיה בעבר בית ספר ברצועה",2024-09-22T08:59:39,Positive,0.999957323
"הרצוג: המלחמה - למען העולם החופשי, אחרת היא תגיע גם לאירופה",2024-09-22T08:58:34,Neutral,0.772422731
איראן: 51 בני אדם נהרגו בפיצוץ מכרה פחם,2024-09-22T08:50:02,Negative,0.999921203
"כוח צה""ל ירה לעבר חשוד שיידה אבנים בשכם. הפלסטינים: 2 נערים נפצעו בחילופי אש",2024-09-22T08:45:36,Positive,0.999957681
הפלסטינים: 6 הרוגים בתקיפת בית ספר בצפון הרצועה,2024-09-22T08:35:14,Neutral,0.999579966
"גורם צבאי: ""הפעולות בלבנון מנעו בוקר קשה יותר, פנינו להעצים את התקיפות""",2024-09-22T08:30:34,Positive,0.999957323
"חיזבאללה הודיע על הרוג נוסף משורותיו, ה-501 מתחילת המלחמה",2024-09-22T08:24:22,Neutral,0.999572814
"ארה""ב: 4 הרוגים באירוע ירי באלבמה",2024-09-22T08:01:55,Neutral,0.999382734
"כטב""ם שהגיע מעיראק יורט בדרום הגולן, צה""ל השלים סבב תקיפות נוסף בדרום לבנון",2024-09-22T07:54:51,Positive,0.999958277
בלבנון מדווחים: ישראל תקפה יותר מ-60 פעמים מהבוקר,2024-09-22T07:43:54,Neutral,0.74809289
מסביר פיקוד העורף: רוב נפגעי הירי הרקטי היו בשטחים פתוחים ולא שכבו על הקרקע,2024-09-22T07:43:08,Negative,0.999921322
"נציגת האו""ם בלבנון  הזהירה מ""קטסטרופה קרובה"": ""אין פתרון צבאי למצב""",2024-09-22T07:26:32,Negative,0.999697328
"פיקוד העורף על החשש לחדירת כלי טיס לדרום הגולן: ""האירוע הסתיים""",2024-09-22T07:11:20,Neutral,0.999671459
משרד הבריאות בלבנון: הרוג ופצוע בתקיפה בדרום המדינה,2024-09-22T07:08:50,Neutral,0.999652028
"יועז הנדל: ""אנחנו בכישלון מוחלט בצפון, אין מנוס מלבד שביירות תבער""",2024-09-22T07:06:03,Neutral,0.712651134
אזעקות וחשש לחדירת כלי טיס עוין בדרום רמת הגולן,2024-09-22T07:01:15,Neutral,0.999655962
"""ההתנגדות האיסלאמית בעיראק"": שיגרנו כטב""ם וטילי שיוט לעבר מטרות בישראל",2024-09-22T06:50:14,Negative,0.999893188
כל בתי החולים בצפון עוברים לעבודה במרחבים מוגנים,2024-09-22T06:47:21,Neutral,0.905961871
בלבנון מעדכנים: מניין ההרוגים בתקיפה בדאחייה עלה ל-45,2024-09-22T06:35:44,Neutral,0.998651803
אתרי רשות הטבע והגנים ייסגרו מקו חיפה וצפונה,2024-09-22T05:51:17,Neutral,0.994834781
"ישיבת הקבינט בוטלה, ישיבת הממשלה תתקיים ב-12:00",2024-09-22T05:49:45,Neutral,0.978626728
דיווחים בלבנון: תקיפות בדרום המדינה,2024-09-22T05:37:04,Positive,0.999959111
עקב הרחבת טווח הירי: גם הלימודים ביקנעם עילית בוטלו,2024-09-22T05:34:05,Negative,0.999472201
"בעקבות ההסלמה: קו הסיוע של עמותת נט""ל תוגבר",2024-09-22T05:30:32,Positive,0.999955893
"דובר צה""ל בערבית: חיזבאללה שיגר כ-115 רקטות לעבר אזורים אזרחיים בצפון",2024-09-22T05:23:48,Positive,0.999951005
"צה""ל תוקף בלבנון, אחרי המטחים לקריות ולעמק יזרעאל",2024-09-22T05:13:00,Positive,0.999958634
"אל-ג'זירה: צה""ל פשט על משרדינו ברמאללה והורה על סגירתם ל-45 ימים",2024-09-22T05:08:34,Positive,0.999958277
"חיזבאללה: ""שיגרנו עשרות טילים למתקן של רפאל בקריות בתגובה למתקפות הביפרים""",2024-09-22T04:44:00,Negative,0.999906301
"צה""ל: 85 רקטות שוגרו תוך חצי שעה לקריות ולאזורים אחרים בצפון",2024-09-22T04:42:16,Positive,0.99995172
"רקטה פגעה בחצר בית בגליל התחתון, נזק רב נגרם לרכוש",2024-09-22T04:36:07,Negative,0.999923706
"מועצה אזורית גולן: נפילות בקרבת מושב רמות, שריפה פרצה במקום",2024-09-22T04:25:43,Negative,0.999914408
"הירי לקריית ביאליק: גבר נפצע באורח בינוני, בן 70 ובת 16 במצב קל",2024-09-22T04:21:01,Neutral,0.979979873
גבר נפצע באורח בינוני מפגיעת רסיסים בג'דיידה מכר,2024-09-22T04:14:00,Neutral,0.999297738
האזעקה בערבה: יורטה מטרה אווירית חשודה שעשתה דרכה לישראל ממזרח,2024-09-22T04:08:54,Negative,0.999860883
שריפה פרצה בעקבות נפילה בקריית ביאליק,2024-09-22T04:04:38,Negative,0.999860525
מטח נוסף לקריות,2024-09-22T04:01:21,Neutral,0.998679817
"הירי מלבנון: 3 נפצעו באורח קל בקריות ובגליל התחתון, זוהו נפילות במחוז חוף",2024-09-22T03:59:46,Negative,0.999916673
אזעקות בכינרת,2024-09-22T03:55:30,Neutral,0.999593556
במטח האחרון: פגיעה בשני בתים בקריית ביאליק,2024-09-22T03:49:17,Negative,0.999785006
"הירי לצפון: צוותי מד""א יצאו לסריקות בכמה אזורים אחרי שהתקבלו קריאות",2024-09-22T03:46:16,Negative,0.832036078
חשש לחדירת כלי טיס עוין בערבה,2024-09-22T03:35:00,Neutral,0.999623775
"מטח רביעי מהלילה לעמק יזרעאל; בן 17 נהרג בתאונה, כנראה בזמן אזעקה לפנות בוקר",2024-09-22T03:31:24,Negative,0.999916196
אזעקות בשורת יישובים בעמק יזרעאל ובאזור עכו,2024-09-22T03:30:46,Neutral,0.999462306
אזעקות בקריות ובגליל המערבי,2024-09-22T03:28:33,Neutral,0.999529958
אזעקות במרכז הגליל,2024-09-22T03:25:32,Neutral,0.999600708
בטירת כרמל ובקריית אתא עדכנו את התושבים: לא יתקיימו היום לימודים,2024-09-22T03:18:22,Negative,0.998670816
נער נהרג וצעיר נפצע בינוני-קשה כשרכבם התנגש בגדר בעמק יזרעאל,2024-09-22T03:14:59,Negative,0.999921679
פיקוד העורף עדכן את ההנחיות: מחיפה צפונה - אין לימודים,2024-09-22T02:56:45,Neutral,0.99892658
"הירי לצפון: פגיעה ישירה ברפת בעמק יזרעאל, מתו כמה פרות ונגרם נזק",2024-09-22T02:48:53,Negative,0.999923348
"כ-15 רקטות חצו מלבנון במטח שנורה ב-4:48, מרביתן יורטו",2024-09-22T02:34:33,Negative,0.999898672
בתום הערכת מצב: במגדל העמק הוחלט כי לא יתקיימו היום לימודים,2024-09-22T02:28:32,Neutral,0.998530388
אזעקות בגליל התחתון ובעמק יזרעאל,2024-09-22T02:11:37,Neutral,0.999447405
"מד""א: לא התקבלו דיווחים על נפילות או נפגעים",2024-09-22T02:06:22,Negative,0.999909401
אזעקות ביקנעם ועמק יזרעאל,2024-09-22T01:49:26,Neutral,0.999577701
"צה""ל: יורט כלי טיס שחצה מעיראק לדרום הגולן, האזעקות בדוב""ב - שווא",2024-09-22T01:44:27,Positive,0.999958992
"נער נפצע בתאונת דרכים בגליל התחתון, מצבו קשה",2024-09-22T01:42:13,Neutral,0.99939692
"ארה""ב, אוסטרליה, הודו ויפן ""הביעו דאגה"" מהמתחים בים סין הדרומי",2024-09-22T01:09:00,Negative,0.999576151
"דיווח: כוחות צה""ל סגרו את משרדי ערוץ אל-ג'זירה ברמאללה",2024-09-22T01:07:45,Positive,0.999957323
אזעקות בדרום הגולן,2024-09-22T00:57:44,Neutral,0.9996382
אזעקה נוספת בגליל העליון,2024-09-22T00:48:08,Negative,0.999926329
אזעקה בגליל העליון,2024-09-22T00:38:07,Negative,0.999925017
"עמק יזרעאל: נפילה אחת בתחום המועצה, צוותי כיבוי פועלים באזור. אין נפגעים",2024-09-21T23:17:27,Negative,0.999923587
חיזבאללה: ירינו עשרות טילים לעבר בסיס רמת דוד. דיווח: תקיפות בדרום לבנון,2024-09-21T23:15:11,Positive,0.999958396
"המטח לצפון: גבר נפצע כנראה מרסיס מיירט, מצבו קל מאוד",2024-09-21T23:01:53,Neutral,0.999216914
"נפילות בעמק יזרעאל, אין נפגעים",2024-09-21T22:46:59,Negative,0.999922991
"המטח לצפון: כ-10 שיגורים חצו מלבנון לשטח ישראל, מרביתם יורטו",2024-09-21T22:39:28,Positive,0.666496873
"מד""א: עד כה לא התקבלו דיווחים על נפילות או נפגעים, פרט לאחד שבבדיקה",2024-09-21T22:34:19,Negative,0.999896288
"דובר צה""ל: התרעות הופעלו בצפון הארץ - הפרטים בבדיקה",2024-09-21T22:16:50,Positive,0.999958515
"אזעקות רבות בעפולה, יקנעם ונצרת",2024-09-21T22:11:57,Neutral,0.99958688
אזעקות בצפון הארץ,2024-09-21T22:11:25,Neutral,0.999615192
בעקבות המצב הביטחוני: הלימודים בקצרין יתקיימו באופן מקוון,2024-09-21T22:09:29,Neutral,0.894711733
ארגנטינה: רעידת אדמה בעוצמה 6 הכתה במערב המדינה,2024-09-21T22:01:00,Neutral,0.821846068
"הקבינט המדיני-ביטחוני יתכנס ב-17:30 בקריה בת""א",2024-09-21T21:54:57,Neutral,0.998869598
בוטל יום הגיוס והצו הראשון בחיפה ובטבריה,2024-09-21T21:48:55,Neutral,0.998946607
"צה""ל: כ-290 מטרות טרור הותקפו בדרום לבנון בשעות האחרונות",2024-09-21T21:41:00,Positive,0.999958396
