Headline,Sentiment
"יו""ר פורום קו העימות: ""הפסקת אש - מתנה לנסראללה שתגרום לאבידות בנפש""",Negative
תחזית מזג האוויר: טמפרטורות רגילות לעונה,Negative
רוכב אופנוע נהרג בתאונה בבאר שבע,Negative
"CNN: ""עשרות חיילים אמריקנים נפרסו בקפריסין בצל ההסלמה במזרח התיכון""",Negative
"ארה""ב במועצת הביטחון: ""הדרך היחידה לעצור את ההסלמה בלבנון - פתרון דיפלומטי""",Negative
סנאטורים רפובליקנים מאשימים: ממשל ביידן מעכב משלוחי ציוד צבאי לישראל,Negative
"המיליציות בעיראק הודיעו: אנחנו שיגרנו את הכטב""מים לאילת",Negative
"דיווח: המיליציות השיעיות בעיראק שיגרו את הכטב""ם לאילת",Negative
"מקרון: ""המלחמה בעזה נמשכת זמן רב מדי, יותר מדי אזרחים נהרגו""",Negative
"חיזבאללה הציג את ""הטיל ההרסני"" שטען ששיגר לגוש דן",Negative
"קנצלר גרמניה: ההסלמה חייבת להיפסק, תומכים בפתרון דיפלומטי ובהפסקת אש",Negative
"האזעקה באילת: כטב""ם אחד יורט, חשש לכטב""מים נוספים במרחב",Negative
"עכשיואלימות השוטרים כלפי חרדים בבית שמש: 2 שוטרים נחקרו באזהרה במח""ש",Negative
"דיווח: יו""ר הפרלמנט הלבנוני מנסה לקדם הפסקת אש של 4 שבועות",Negative
"נעצרו שני חשודים נוספים בפיגוע הפלילי ברמלה, שבו נרצחו 4 בני אדם",Negative
"עכשיוהירי לעכו: עשרות רקטות שוגרו, חלקן יורטו",Negative
עכשיודיווח בלבנון: נפגעים בתקיפת רכב מהאוויר בדרום המדינה,Negative
"יו""ר הפרלמנט בלבנון: היממה הקרובה תהיה ""קריטית"" לעצירת ההסלמה",Negative
נקבע מותה של הולכת הרגל שנפגעה ממשאית בחדרה,Negative
פעולות החייאה בהולכת רגל שנפגעה ממשאית בחדרה,Negative
"יו""ר פורום קו העימות: ""הפסקת אש - מתנה לנסראללה שתגרום לאבדות בנפש""",Negative
"אדם נפגע מרסיסים באזור שפרעם, בעלי חיים נפגעו בביר אל-מכסור",Negative
רקטות פגעו במבנה בביר אל-מכסור שבגליל התחתון,Negative
"מנכ""ל מד""א: שני נפגעים מרסיסים בקיבוץ סער, אחד במצב קשה",Negative
"ראשוני: פגיעה ישירה בקיבוץ סער, חשש לנפגעים במקום",Negative
"דיווח: כ-1,500 מחבלי חיזבאללה התעוורו או איבדו יד בפיצוצי הביפרים ומכשירי הקשר",Negative
"עכשיוCNN: ""עשרות חיילים אמריקנים נפרסו בקפריסין בצל ההסלמה במזרח התיכון""",Negative
"האפיפיור גינה את ההסלמה בלבנון, וקרא לקהילה הבינלאומית ""לשים לזה סוף""",Negative
"דיווח בלבנון: מטח רקטות שוגר ""לכיוון מטרה צבאית"" באזור צפת",Negative
"עכשיומקרון: ""המלחמה בעזה נמשכת זמן רב מדי, יותר מדי אזרחים נהרגו""",Negative
"עכשיודיווח: המיליציות השיעיות בעיראק שיגרו את הכטב""ם לאילת",Negative
"עכשיוהאזעקה באילת: כטב""ם אחד יורט, חשש לכטב""מים נוספים במרחב",Negative
"חברת החשמל: בלבנון ניסו לפגוע ב""מתקן אסטרטגי"", לא נגרם נזק",Negative
תחזית מזג האוויר: עלייה קלה בטמפרטורות,Negative
הפיגוע הפלילי ברמלה שבו נרצחו 4 בני אדם: נעצרו חשודים נוספים,Negative
"המיליציות הפרו-איראניות לקחו אחריות על שיגור הכטב""ם לערבה",Negative
מועצת הביטחון תכנס מחר דיון חירום על ההסלמה בלבנון,Negative
רוכב אופנוע נהרג מפגיעת רכב בכביש 4,Negative
"האזעקה בעתלית: שריפה פרצה באזור, אין נפגעים",Negative
בן 14 נהרג מפגיעת רכב באזור השרון,Negative
אזעקה בגליל העליון,Negative
"רוכב אופניים חשמליים בן 17 נפגע מרכב באשדוד, מצבו קשה",Negative
"המשטרה: התקבלו דיווחים על נפילת שברי יירוט באזור עוספיא, אין נפגעים",Negative
אזעקה בקריית שמונה,Negative
"האזעקות בצפון: נזק לרכוש ושריפה בגולן, נפילות חלקי יירוט בגליל התחתון",Negative
"המשטרה: אין נפגעים במטח האחרון, נזקים נגרמו לכלי רכב",Negative
אזעקה בקריות,Negative
"הירי לצפון: כ-5 רקטות שוגרו לאזור יקנעם, יורטה מטרה אווירית בגליל המערבי",Negative
משרד הבריאות בעזה: 12 נהרגו ו-43 נפצעו ברצועה ביממה האחרונה,Negative
"בכיר באו""ם: ""קורא לכל בעלי ההשפעה בעולם למצוא דרך לעצור את ההסלמה בלבנון""",Negative
אזעקה בגליל העליון,Negative
"מטוסי קרב תקפו בדרום לבנון, כ-10 רקטות חצו במטח לאזור נצרת",Negative
שבדיה: איראן שלחה מסרונים לתושבים כנקמה על הפגנות שבהן שרפו ספרי קוראן,Negative
"אוקראינה: יירטנו 66 כטב""מים שרוסיה שיגרה הלילה, זוהתה פגיעה במתקן אנרגיה",Negative
אישה נפצעה קל וגבר נפגע חרדה ממטח הרקטות לצפון,Negative
"הירי לאזור הקריות: רסיס מיירט פגע בטמרה, נזק לחנות",Negative
בעקבות ההסלמה: תלמידים ביישובים נוספים בצפון יעברו ללמידה מרחוק,Negative
"רוסיה: יירטנו 13 כטב""מים שאוקראינה שיגרה לעברנו הלילה",Negative
"המרכז הרפואי העמק: ארבעה נחבלו בדרכם למרחב המוגן, הם סובלים משברים וחבלות",Negative
הירי לנהריה: שתי רקטות נפלו בים,Negative
התחזית: עלייה קלה בטמפרטורות,Negative
כ-60 רקטות שוגרו במסגרת כמה מהמטחים האחרונים לצפון,Negative
"המשטרה: חלקי מיירטים נפלו במספר מוקדים באזור נצרת, אין נפגעים",Negative
"בכיר אמריקני: ""פלישה קרקעית של ישראל ללבנון לא תתרום למניעת הסלמה""",Negative
"בצל ההסלמה: צרפת הגישה לאו""ם בקשה רשמית לכינוס חירום של מועצת הביטחון",Negative
"המפכ""ל על אלימות השוטרים בהפגנה בבית שמש: ""נוגד את ערכינו""",Negative
"מזכ""ל האו""ם: מודאג מההסלמה בין ישראל לחיזבאללה",Negative
"על רקע ההסלמה: ארה""ב שלחה נושאת מטוסים למזה""ת",Negative
"נתניהו באיום כלפי נסראללה, בדיון סגור: ""כולם על הכוונת""",Negative
"גלנט: נסראללה נותר בודד בצמרת, מדובר בשבוע קשה לחיזבאללה",Negative
"הפנטגון, על רקע ההסלמה בצפון: נשלח כוחות נוספים למזרח התיכון",Negative
אזעקה ברמת הגולן,Negative
"דיווחים בלבנון: 3 טילים שוגרו למקום שבו שהה כרכי, ישנם כמה נפגעים",Negative
שופטי עליון למנהל בתי המשפט: הסר את שמותינו מהרשימה ששיגר לוין,Negative
אזעקה במטולה,Negative
"ארה""ב: מודאגים מההסלמה בצפון, ביידן עדיין מחויב לפתרון דיפלומטי",Negative
אזעקה באצבע הגליל,Negative
"סגנו של נסראללה מאיים: ""תושבי הצפון לא יחזרו - נכנסנו לקרב חדש""",Negative
הוארך ב-5 ימים מעצר בן ה-17 שחשוד בפיגוע הפלילי ברמלה,Negative
"סגנו של נסראללה בהלוויית עקיל: ""ישראל נכשלה בניסיון לשתק את חיזבאללה""",Negative
נתניהו סירב להתחייב בוועדת החוץ והביטחון כי לא יפטר את גלנט,Negative
"אישום נגד הנהג של בן גביר, שעבר באדום וגרם לתאונה ליד זירת הפיגוע ברמלה",Negative
"נדחה המשחק בין מכבי חיפה לבית""ר ירושלים בעקבות ההסלמה בצפון",Negative
"דיווח: פיצוץ מכשירי הקשר - חלק מפיתוח ""הכפתור האדום"" שנלחץ במבצע הביפרים",Negative
הפרקליטות תובעת פיצויים בגובה 8 מיליון שקלים מנהג שדרס למוות מתנדב משטרה,Negative
דיווח: פעיל חיזבאללה נהרג בתקיפה בדרום לבנון,Negative
"דיווח: ""שתי רקטות ששוגרו מדרום סוריה התפוצצו ברמת הגולן""",Negative
איראן: 51 בני אדם נהרגו בפיצוץ מכרה פחם,Negative
מסביר פיקוד העורף: רוב נפגעי הירי הרקטי היו בשטחים פתוחים ולא שכבו על הקרקע,Negative
"""ההתנגדות האיסלאמית בעיראק"": שיגרנו כטב""ם וטילי שיוט לעבר מטרות בישראל",Negative
"חיזבאללה: ""שיגרנו עשרות טילים למתקן של רפאל בקריות בתגובה למתקפות הביפרים""",Negative
"רקטה פגעה בחצר בית בגליל התחתון, נזק רב נגרם לרכוש",Negative
האזעקה בערבה: יורטה מטרה אווירית חשודה שעשתה דרכה לישראל ממזרח,Negative
"מטח רביעי מהלילה לעמק יזרעאל; בן 17 נהרג בתאונה, כנראה בזמן אזעקה לפנות בוקר",Negative
נער נהרג וצעיר נפצע בינוני-קשה כשרכבם התנגש בגדר בעמק יזרעאל,Negative
"הירי לצפון: פגיעה ישירה ברפת בעמק יזרעאל, מתו כמה פרות ונגרם נזק",Negative
"כ-15 רקטות חצו מלבנון במטח שנורה ב-4:48, מרביתן יורטו",Negative
"מד""א: לא התקבלו דיווחים על נפילות או נפגעים",Negative
אזעקה נוספת בגליל העליון,Negative
אזעקה בגליל העליון,Negative
"עמק יזרעאל: נפילה אחת בתחום המועצה, צוותי כיבוי פועלים באזור. אין נפגעים",Negative
"נפילות בעמק יזרעאל, אין נפגעים",Negative
"מד""א: עד כה לא התקבלו דיווחים על נפילות או נפגעים, פרט לאחד שבבדיקה",Negative
משרד הבריאות הלבנוני: לפחות 9 נהרגו ו-300 נפצעו בפיצוץ מכשירי הקשר,Negative
"הירי לאצבע הגליל: זוהו כ-25 שיגורים שחצו מלבנון, לא דווח על נפגעים",Negative
"דיווח על נפגעים בפיצוצי מכשירי הקשר הנוספים בלבנון, גם בתוך בתים",Negative
אלפים ליוו למנוחות את הפרמדיקית אגם נעים שנפלה בקרב בדרום רצועת עזה,Negative
הירי לאצבע הגליל: כמה רקטות פגעו באזור קריית שמונה,Negative
"רוכב אופנוע נפגע מרכב בגליל התחתון, מצבו קשה",Negative
ירי רקטות ראשון מאז מתקפת הביפרים: 10 שיגורים נפלו בשטחים פתוחים בצפון,Negative
דיווח סעודי: 19 אנשי משמרות המהפכה נהרגו בפיצוץ הביפרים במזרח סוריה,Negative
"רוסיה גינתה את פיצוץ הביפרים: ""אלפי חפים מפשע נפגעו""",Negative
"משרד הבריאות של חמאס: 41,272 נהרגו בעזה מתחילת המלחמה",Negative
"דוד של אגם, שנהרגה ברפיח: ""היא לא הייתה חייבת להיכנס לעזה, אבל רצתה""",Negative
"סוכל ""פיגוע פלילי"" בתל מונד: מטען חבלה הוטמן במרכז מסחרי",Negative
"אחיו של דותן, שנהרג ברפיח: הוא נפצע לאחרונה, וחזר לקרב אחרי יומיים",Negative
אחרי פיצוץ הביפרים: נסראללה ינאם מחר ב-17:00,Negative
"ההתרעות בגליל העליון: 3 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",Negative
דיווח: מיליון בני אדם נהרגו או נפצעו במלחמת רוסיה-אוקראינה,Negative
אלקין נשאל על כניסתו המסתמנת לממשלה - וסירב להגיב,Negative
משרד החוץ הירדני: גופתו של המחבל מהפיגוע במעבר אלנבי הושבה לשטחנו,Negative
פועל נהרג בנפילה מגובה בנתניה,Negative
"ההתרעה במנרה: רקטה התפוצצה בשטח פתוח, אין נפגעים",Negative
אזעקה באצבע הגליל,Negative
נקבע מותו של רוכב האופנוע שנפגע מרכב סמוך לטייבה,Negative
"רקטה התפוצצה בחצר בית במטולה וגרמה לנזק כבד, שריפה בשמורת נחל עיון",Negative
"אוסטין לגלנט: על ישראל לתת למו""מ זמן להצליח, להסלמה יהיו השלכות הרסניות",Negative
אזעקה במטולה,Negative
"הירי לגליל העליון: כ-10 רקטות נורו לרמות נפתלי, חלקן התפוצצו בשטחים פתוחים",Negative
אזעקה בגליל העליון,Negative
"הירי לגליל העליון: כ-10 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",Negative
"דיווח: סינוואר שיגר מסר למנהיג החות'ים - ""הכנו את עצמנו להילחם בקרב ארוך""",Negative
"3 רקטות התפוצצו בשטחים פתוחים במתת, אין נפגעים",Negative
האזעקה במג'דל שמס - זיהוי שווא,Negative
גבר נהרג מנפילה מקומה שלישית בקריית מלאכי,Negative
רוכב אופנוע נהרג מפגיעת משאית באזור יודפת שבגליל,Negative
אזעקה בגליל המערבי,Negative
אזעקה במג'דל שמס,Negative
דיווח: פעיל חיזבאללה נהרג ו-3 נפצעו בתקיפה בדרום לבנון,Negative
"לשכת רה""מ: ""הפרסומים בעניין משא-ומתן עם גדעון סער אינם נכונים""",Negative
משרד הבריאות בעזה: 20 נהרגו ו-76 נפצעו ברצועה ביממה האחרונה,Negative
"זלנסקי גינה את ניסיון ההתנקשות בטראמפ: ""אין מקום לאלימות פוליטית""",Negative
בפעם השנייה מפרוץ המלחמה: חטיבה 5 חזרה לתמרן ברצועת עזה,Negative
"שר הבריאות: ""הטיפול במחבלי נוחבה? חלקם נכנסו לעזה ועזרו להציל חטופים""",Negative
"שר הבריאות בצל ההסלמה בחזית הצפונית: ""המערכת עמדה ב-7/10""",Negative
"מקורות בלבנון לעיתון קטארי: ""למרות ההסלמה, עדיין ניתן למנוע מלחמה כוללת""",Negative
"כ""ץ: ""מתפללים עבור טראמפ, אסור שאלימות תפגע בזכות הבחירה בארה""ב""",Negative
"אוקראינה: יירטנו 53 מתוך 56 כטב""מים שרוסיה שיגרה לעבר 10 מחוזות שונים",Negative
"הנשיא הרצוג: ""הוקל לי לשמוע שטראמפ לא נפגע, צריך לגנות אלימות פוליטית""",Negative
אזעקה נוספת באצבע הגליל,Negative
אזעקה במטולה,Negative
"האזעקות בגליל העליון: 2 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",Negative
"האריס בהצהרה נוספת: ""מוטרדת מניסיון ההתנקשות, מגנה אלימות פוליטית""",Negative
ביידן על ניסיון ההתנקשות בטראמפ: אין מקום לאלימות במדינה שלנו,Negative
"ארה""ב ובריטניה: מזהירים מהסלמה שתערער את פתרון שתי המדינות",Negative
הוארך מעצרו של הנער החשוד בפיגוע הפלילי ברמלה,Negative
"השדולה לזכר נרצחי הנובה לממשלה: ""ההמלצות לטיפול בנפגעים לוקות בחסר""",Negative
הפיגוע הפלילי ברמלה: מצבו של התינוק עדיין אנוש,Negative
"שני כטב""מי חיזבאללה התפוצצו מצפון לקריית שמונה, אין נפגעים",Negative
רומניה: 5 בני אדם נהרגו בסופת גשמים במזרח המדינה,Negative
אזעקה בגליל העליון,Negative
אזעקה בגליל העליון,Negative
"גבר שיכור התהלך על כביש 2 סמוך לעתלית, נורה ירי אזהרה באוויר. אין חשש לפיגוע",Negative
"הירי לאשקלון: 2 רקטות שוגרו מצפון הרצועה, אחת יורטה והשנייה נפלה בים",Negative
אזעקה נוספת בעמק החולה,Negative
אזעקה בעמק החולה,Negative
אזעקה באשקלון,Negative
ילד כבן 4 נהרג אחרי שנתקע בסורגים בביתו באור עקיבא,Negative
דיווח: מצרים תארח משלחת חות'ית בניסיון להביא לפתרון המשבר הפוליטי בתימן,Negative
איראן שיגרה לווין לחלל באמצעות טיל שיוצר על-ידי משמרות המהפכה,Negative
אזעקה בגליל העליון,Negative
דיווח: המכתב שסינוואר שלח לנסראללה לא נכתב על-ידו באופן אישי,Negative
אזעקה נוספת בגליל העליון,Negative
אזעקה בגליל העליון,Negative
אזעקה נוספת בגליל המערבי,Negative
אזעקה בגליל המערבי,Negative
האזעקה בגליל העליון - שווא,Negative
אזעקה בגליל העליון,Negative
אזעקה בגליל העליון,Negative
נעצר חשוד במעורבות בפיגוע הפלילי ברמלה,Negative
"דיווח בלבנון: נפגעים בתקיפת דירה באמצעות כטב""ם בעומק המדינה",Negative
"עכשיודיווח בלבנון: נפגעים בתקיפת דירה באמצעות כטב""ם בעומק המדינה",Negative
"בן 3 נהרג בתאונה בין שני רכבים בשומרון, 4 נפצעו קשה",Negative
האזעקה בשניר: שיגור אחד חצה מלבנון ונפל בשטח פתוח בישראל,Negative
עכשיוהאזעקה בשניר: שיגור אחד חצה מלבנון ונפל בשטח פתוח בישראל,Negative
"האזעקה שבמשגב עם: שני שיגורים מלבנון יורטו, אין נפגעים",Negative
אזעקה באצבע הגליל,Negative
עכשיואזעקה באצבע הגליל,Negative
אזעקה באצבע הגליל,Negative
פשיטה נרחבת בג'ואריש ובלוד אחרי הפיגוע הפלילי - בלי עצורים ברצח,Negative
דיווח בלבנון: סינוואר שלח מברק לנסראללה,Negative
עוד אזעקה בגליל העליון,Negative
אזעקה נוספת בגליל העליון,Negative
אזעקה בגליל העליון,Negative
התרעה על חשש לחדירת מחבלים בעלמון שבבנימין,Negative
גבר נפצע באורח קשה באירוע אלימות באופקים,Negative
"רוכבת אופנוע נפגעה מרכב בכביש 531, מצבה אנוש",Negative
צו איסור פרסום הוצא על חקירת הפיגוע הפלילי ברמלה,Negative
"טראמפ מסרב לעימות נוסף מול האריס: ""הסקרים מראים בבירור שזכיתי""",Negative
נקבע מותם של 4 מהנפגעים בפיצוץ הרכב ברמלה,Negative
אזעקה בגליל המערבי,Negative
אזעקה בגליל העליון,Negative
"הולך רגל נהרג מפגיעת אופנוע בפתח תקווה, הרוכב נפצע קשה",Negative
"לשכת רה""מ על הודעת חמאס: ""מסתיר שהוא ממשיך להתנגד לעסקה""",Negative
"הירי לגליל המערבי: כ-15 רקטות שוגרו, שריפות פרצו בשטחים פתוחים",Negative
"הרצוג לזוכי המדליות במשחקים הפראלימפיים: ""הבאתם אור, תקווה והשראה""",Negative
"הרמטכ""ל בג'נין: ""מפרקים את הטרור ביהודה ושומרון""",Negative
